"","max.weekday.demand","saturday","Store"
"1",9,5,"Countdown Airport"
"2",10,4,"Countdown Auckland City"
"3",10,4,"Countdown Aviemore Drive"
"4",10,5,"Countdown Birkenhead"
"5",9,3,"Countdown Blockhouse Bay"
"6",10,4,"Countdown Botany Downs"
"7",11,5,"Countdown Browns Bay"
"8",9,5,"Countdown Glenfield"
"9",10,4,"Countdown Greenlane"
"10",11,3,"Countdown Grey Lynn"
"11",9,6,"Countdown Grey Lynn Central"
"12",8,5,"Countdown Hauraki Corner"
"13",10,5,"Countdown Henderson"
"14",9,3,"Countdown Highland Park"
"15",10,6,"Countdown Hobsonville"
"16",10,4,"Countdown Howick"
"17",11,4,"Countdown Kelston"
"18",10,5,"Countdown Lincoln Road"
"19",9,4,"Countdown Lynfield"
"20",8,4,"Countdown Lynmall"
"21",12,4,"Countdown Mairangi Bay"
"22",9,4,"Countdown Mangere East"
"23",8,4,"Countdown Mangere Mall"
"24",10,6,"Countdown Manukau"
"25",10,4,"Countdown Manukau Mall"
"26",10,4,"Countdown Manurewa"
"27",10,5,"Countdown Meadowbank"
"28",10,3,"Countdown Meadowlands"
"29",11,4,"Countdown Milford"
"30",10,5,"Countdown Mt Eden"
"31",9,5,"Countdown Mt Roskill"
"32",11,4,"Countdown Mt Wellington"
"33",9,4,"Countdown Newmarket"
"34",10,5,"Countdown Northcote"
"35",9,4,"Countdown Northwest"
"36",10,4,"Countdown Onehunga"
"37",9,4,"Countdown Pakuranga"
"38",8,5,"Countdown Papakura"
"39",12,3,"Countdown Papatoetoe"
"40",11,4,"Countdown Ponsonby"
"41",10,5,"Countdown Pt Chevalier"
"42",10,5,"Countdown Roselands"
"43",9,4,"Countdown St Johns"
"44",8,3,"Countdown St Lukes"
"45",10,4,"Countdown Sunnynook"
"46",10,4,"Countdown Sylvia Park"
"47",10,5,"Countdown Takanini"
"48",10,3,"Countdown Takapuna"
"49",9,4,"Countdown Te Atatu"
"50",9,4,"Countdown Te Atatu South"
"51",11,4,"Countdown Three Kings"
"52",11,4,"Countdown Victoria Street West"
"53",10,6,"Countdown Westgate"
"54",5,0,"Countdown Metro Albert Street"
"55",5,0,"Countdown Metro Halsey Street"
"56",NA,NA,"Distribution Centre Auckland"
"57",5,0,"FreshChoice Glen Eden"
"58",6,0,"FreshChoice Half Moon Bay"
"59",6,0,"FreshChoice Mangere Bridge"
"60",5,0,"FreshChoice Otahuhu"
"61",7,0,"FreshChoice Ranui"
"62",5,0,"SuperValue Avondale"
"63",6,0,"SuperValue Flatbush"
"64",6,0,"SuperValue Palomino"
"65",5,0,"SuperValue Papakura"
"66",5,0,"SuperValue Titirangi"
