Duration,First Stop,Second Stop,Third Stop,Fourth Stop
1918.99,Countdown Airport,Countdown Mangere Mall,,
1194.77,Countdown Mangere East,Countdown Mangere Mall,,
1205.33,Countdown Mangere Mall,Countdown Mangere East,,
2418.74,Countdown Manukau,Countdown Manukau Mall,,
2434.17,Countdown Manukau Mall,Countdown Manukau,,
2870.6499999999996,Countdown Manurewa,Countdown Manukau Mall,,
3980.1400000000003,Countdown Papakura,Countdown Roselands,,
2500.9700000000003,Countdown Papatoetoe,Countdown Manukau,,
3852.7200000000003,Countdown Roselands,Countdown Papakura,,
3815.7200000000003,Countdown Takanini,Countdown Roselands,,
2899.2299999999996,SuperValue Flatbush,Countdown Manukau,,
4052.2700000000004,SuperValue Papakura,Countdown Papakura,,
2251.91,Countdown Airport,Countdown Mangere Mall,Countdown Mangere East,
1653.0900000000001,Countdown Mangere East,Countdown Mangere Mall,FreshChoice Mangere Bridge,
1621.1299999999999,Countdown Mangere Mall,Countdown Mangere East,FreshChoice Otahuhu,
3094.6099999999997,Countdown Manukau,Countdown Manukau Mall,SuperValue Flatbush,
2986.33,Countdown Manukau Mall,Countdown Manukau,SuperValue Flatbush,
3165.6099999999997,Countdown Manurewa,Countdown Manukau Mall,Countdown Manukau,
4203.75,Countdown Papakura,Countdown Roselands,SuperValue Papakura,
2563.29,Countdown Papatoetoe,Countdown Manukau,Countdown Manukau Mall,
4095.19,Countdown Roselands,Countdown Papakura,SuperValue Papakura,
3963.28,Countdown Takanini,Countdown Roselands,Countdown Papakura,
2961.5499999999997,SuperValue Flatbush,Countdown Manukau,Countdown Manukau Mall,
4219.79,SuperValue Papakura,Countdown Papakura,Countdown Roselands,
2667.71,Countdown Airport,Countdown Mangere Mall,Countdown Mangere East,FreshChoice Otahuhu
2287.36,Countdown Mangere East,Countdown Mangere Mall,FreshChoice Mangere Bridge,Countdown Onehunga
2685.8900000000003,Countdown Mangere Mall,Countdown Mangere East,FreshChoice Otahuhu,Countdown Sylvia Park
3077.4300000000003,Countdown Manukau,Countdown Manukau Mall,SuperValue Flatbush,Countdown Papatoetoe
2969.1500000000005,Countdown Manukau Mall,Countdown Manukau,SuperValue Flatbush,Countdown Papatoetoe
3717.7699999999995,Countdown Manurewa,Countdown Manukau Mall,Countdown Manukau,SuperValue Flatbush
4416.38,Countdown Papakura,Countdown Roselands,SuperValue Papakura,Countdown Takanini
3239.16,Countdown Papatoetoe,Countdown Manukau,Countdown Manukau Mall,SuperValue Flatbush
4307.82,Countdown Roselands,Countdown Papakura,SuperValue Papakura,Countdown Takanini
4205.75,Countdown Takanini,Countdown Roselands,Countdown Papakura,SuperValue Papakura
3212.96,SuperValue Flatbush,Countdown Manukau,Countdown Manukau Mall,Countdown Papatoetoe
4225.91,SuperValue Papakura,Countdown Papakura,Countdown Roselands,Countdown Takanini
